city,state_name,lat,lng,id
Taholah,Washington,47.3283,-124.2728,1840018447
Wauna,Washington,47.3860,-122.6694,1840023842
Connell,Washington,46.6624,-118.8405,1840018479
Disautel,Washington,48.3450,-119.2299,1840023755
Santiago,Washington,47.2975,-124.2327,1840042040
Orting,Washington,47.0966,-122.2111,1840019858
Colville,Washington,48.5454,-117.8986,1840018361
Marysville,Washington,48.0810,-122.1558,1840019789
Walla Walla,Washington,46.0669,-118.3365,1840021174
Zillah,Washington,46.4083,-120.2717,1840021155
Curlew,Washington,48.8777,-118.6045,1840025242
Key Center,Washington,47.3376,-122.7505,1840023833
Hoodsport,Washington,47.4020,-123.1542,1840025233
Spanaway,Washington,47.0979,-122.4233,1840018451
Mattawa,Washington,46.7364,-119.9019,1840022292
Clallam Bay,Washington,48.2536,-124.2579,1840025247
Prairie Ridge,Washington,47.1443,-122.1408,1840037882
Rockport,Washington,48.4854,-121.6065,1840018365
Stansberry Lake,Washington,47.3814,-122.7154,1840042090
Copalis Beach,Washington,47.1205,-124.1722,1840017356
Frederickson,Washington,47.0914,-122.3594,1840037551
Asotin,Washington,46.3371,-117.0433,1840018500
Mill Creek,Washington,47.8633,-122.2034,1840019790
Bell Hill,Washington,48.0550,-123.0870,1840037847
Green Bluff,Washington,47.8190,-117.2770,1840023785
Clayton,Washington,48.0013,-117.5612,1840025239
Puyallup,Washington,47.1794,-122.2902,1840019859
Hockinson,Washington,45.7301,-122.4833,1840017399
Lake McMurray,Washington,48.3129,-122.2317,1840037893
Bucoda,Washington,46.7968,-122.8680,1840021143
Issaquah,Washington,47.5420,-122.0444,1840018422
Odessa,Washington,47.3326,-118.6895,1840022295
Hazel Dell,Washington,45.6797,-122.6553,1840037662
McMillin,Washington,47.1286,-122.2374,1840023837
Wilbur,Washington,47.7583,-118.7110,1840022296
Skamokawa Valley,Washington,46.3004,-123.4243,1840042053
Centerville,Washington,45.7540,-120.9081,1840017401
Nile,Washington,46.8368,-120.9455,1840023854
Spokane Valley,Washington,47.6625,-117.2346,1840021094
Woodland,Washington,45.9149,-122.7503,1840021181
Lewisville,Washington,45.8127,-122.5144,1840037855
Vantage,Washington,46.9453,-119.9923,1840018441
Gorst,Washington,47.5237,-122.7057,1840023795
Lake Morton-Berrydale,Washington,47.3325,-122.1030,1840074253
Ione,Washington,48.7402,-117.4223,1840021061
Bothell West,Washington,47.8056,-122.2400,1840041906
Vaughn,Washington,47.3550,-122.7773,1840023841
Black Diamond,Washington,47.3130,-122.0181,1840018418
Ferndale,Washington,48.8525,-122.5893,1840019751
Acme,Washington,48.7146,-122.2293,1840017288
White Center,Washington,47.5086,-122.3480,1840037727
Fairchild AFB,Washington,47.6187,-117.6485,1840073916
Pacific,Washington,47.2611,-122.2507,1840019834
Glenwood,Washington,46.0228,-121.2926,1840037769
Colfax,Washington,46.9032,-117.3394,1840018458
Silvana,Washington,48.2018,-122.2459,1840018373
Forks,Washington,47.9526,-124.3904,1840019781
Kirkland,Washington,47.6997,-122.2041,1840019836
Okanogan,Washington,48.3671,-119.5784,1840019760
Kayak Point,Washington,48.1387,-122.3342,1840041938
Union Hill-Novelty Hill,Washington,47.6788,-122.0284,1840074663
Outlook,Washington,46.3311,-120.0923,1840023855
Lake Tapps,Washington,47.2305,-122.1696,1840041971
Cohassett Beach,Washington,46.8656,-124.1054,1840017355
Tonasket,Washington,48.7077,-119.4412,1840021057
Sunnyside,Washington,46.3159,-120.0058,1840021150
Lakeview,Washington,47.3755,-119.5043,1840136062
Carbonado,Washington,47.0805,-122.0536,1840022307
Pullman,Washington,46.7340,-117.1669,1840019864
